animal,cowsay_animal
Bat,bat
Cat,cat
Buffalo,buffalo
Chicken,chicken
"Clippy, the Microsoft Paper Clip",clippy
Cow,cow
Horse,endlesshorse
Frog,frog
Monkey,monkey
Pig,pig
Poop Emoji,poop
Jackolantern,pumpkin
Shark,shark
Snowman,snowman
Spider,spider
Trilobite,trilobite
Turkey,turkey
Yoda (from the original Star Wars trilogy),yoda
